produto,quantidade,preco,estado,data_venda,codigo_venda
Tablet,-1,nan,,2025-01-20 22:56:23.521836,VND102057
Celular,três,2000,RJ,2025-02-19 22:56:23.521839,VND102058
,2,mil,RS,2025-01-25 22:56:23.521842,VND102059
Notebook,5,1000,,2025-01-05 22:56:23.521845,VND102060
Teclado,4,2500,PE,2025-02-04 22:56:23.521848,VND102061
,3,3000,,2024-10-31 22:56:23.521850,VND102062
,três,mil,SP,2025-05-24 22:56:23.521852,VND102063
Tablet,2,nan,SP,2025-01-15 22:56:23.521855,VND102064
Monitor,-1,1500,MG,2024-09-05 22:56:23.521858,VND102065
Monitor,4,2000,MG,2024-12-05 22:56:23.521860,VND102066
Headset,1,mil,PR,2025-01-14 22:56:23.521863,VND102067
Celular,-1,nan,SC,2025-06-13 22:56:23.521867,VND102068
Tablet,5,1500,PR,2025-03-08 22:56:23.521870,VND102069
Headset,,nan,BA,2025-03-23 22:56:23.521872,VND102070
Tablet,três,mil,,2025-03-27 22:56:23.521875,VND102071
,1,1000,RJ,2025-01-02 22:56:23.521877,VND102072
Celular,2,1500,RJ,2024-10-22 22:56:23.521878,VND102073
,três,1500,DF,2025-05-06 22:56:23.521880,VND102074
,2,nan,SP,2025-03-27 22:56:23.521882,VND102075
Monitor,1,2500,CE,2024-07-13 22:56:23.521883,VND102076
,2,mil,PR,2025-02-23 22:56:23.521885,VND102077
,-1,2500,DF,2024-07-20 22:56:23.521886,VND102078
,4,3000,MG,2025-05-21 22:56:23.521888,VND102079
Notebook,2,1000,RJ,2024-08-03 22:56:23.521889,VND102080
Monitor,5,2500,MG,2024-09-22 22:56:23.521891,VND102081
Headset,4,nan,PR,2024-10-29 22:56:23.521893,VND102082
Teclado,-1,mil,RS,2024-07-16 22:56:23.521894,VND102083
Notebook,três,2500,MG,2024-10-29 22:56:23.521896,VND102084
Headset,3,3000,CE,2025-06-12 22:56:23.521897,VND102085
Celular,três,2000,RJ,2024-12-16 22:56:23.521899,VND102086
Notebook,2,3000,PR,2024-09-08 22:56:23.521901,VND102087
,2,1500,DF,2024-07-17 22:56:23.521902,VND102088
Headset,5,mil,SC,2025-04-14 22:56:23.521904,VND102089
Celular,-1,1500,SC,2024-10-12 22:56:23.521905,VND102090
Monitor,5,2500,PR,2024-10-07 22:56:23.521907,VND102091
Teclado,,2500,SC,2024-07-02 22:56:23.521909,VND102092
Celular,-1,3000,RJ,2024-08-01 22:56:23.521910,VND102093
,1,3000,,2024-08-04 22:56:23.521912,VND102094
Tablet,1,nan,RS,2024-11-21 22:56:23.521913,VND102095
Celular,1,1000,MG,2025-03-18 22:56:23.521915,VND102096
Celular,5,nan,CE,2025-03-05 22:56:23.521916,VND102097
Teclado,1,1500,PE,2025-01-10 22:56:23.521918,VND102098
Tablet,-1,nan,DF,2025-04-25 22:56:23.521919,VND102099
,1,3000,,2025-03-24 22:56:23.521921,VND102100
Headset,3,mil,RJ,2024-12-30 22:56:23.521923,VND102101
Headset,1,nan,SP,2025-03-18 22:56:23.521924,VND102102
Celular,2,2000,BA,2025-03-18 22:56:23.521926,VND102103
,,1000,BA,2025-04-09 22:56:23.521928,VND102104
,5,3000,DF,2024-11-01 22:56:23.521929,VND102105
Tablet,4,mil,,2024-09-06 22:56:23.521931,VND102106
Tablet,,2500,RJ,2025-06-12 22:56:23.521932,VND102107
,3,nan,PR,2025-03-04 22:56:23.521934,VND102108
Teclado,5,3000,MG,2025-01-12 22:56:23.521935,VND102109
Monitor,-1,2500,PR,2024-11-07 22:56:23.521937,VND102110
Headset,três,2500,PR,2025-01-18 22:56:23.521938,VND102111
Teclado,5,1500,SP,2024-07-19 22:56:23.521940,VND102112
Notebook,2,1500,SC,2025-02-05 22:56:23.521942,VND102113
Headset,-1,mil,BA,2024-08-13 22:56:23.521943,VND102114
Teclado,,3000,,2025-01-23 22:56:23.521945,VND102115
Headset,,mil,PE,2024-10-20 22:56:23.521946,VND102116
Monitor,1,3000,PE,2025-01-16 22:56:23.521948,VND102117
Notebook,-1,2000,MG,2024-09-29 22:56:23.521950,VND102118
,três,1000,BA,2025-05-27 22:56:23.521951,VND102119
,2,1000,SP,2025-01-28 22:56:23.521953,VND102120
Monitor,1,3000,DF,2025-04-11 22:56:23.521954,VND102121
,1,1500,RJ,2024-09-13 22:56:23.521956,VND102122
Notebook,três,nan,PR,2025-04-30 22:56:23.521958,VND102123
Celular,5,mil,,2025-01-30 22:56:23.521959,VND102124
Teclado,,2000,PR,2024-12-29 22:56:23.521961,VND102125
Notebook,1,1000,CE,2025-05-01 22:56:23.521962,VND102126
,3,3000,DF,2024-11-30 22:56:23.521964,VND102127
,3,1500,CE,2024-08-20 22:56:23.521966,VND102128
Monitor,,1500,CE,2025-05-14 22:56:23.521967,VND102129
Headset,3,1500,SC,2024-12-01 22:56:23.521969,VND102130
Notebook,três,mil,PE,2024-09-25 22:56:23.521971,VND102131
Teclado,5,nan,CE,2024-08-15 22:56:23.521972,VND102132
Notebook,2,2500,PR,2025-03-30 22:56:23.521974,VND102133
Tablet,4,mil,BA,2024-08-25 22:56:23.521976,VND102134
Headset,1,nan,BA,2025-06-10 22:56:23.521977,VND102135
Teclado,4,1500,SC,2024-12-25 22:56:23.521979,VND102136
,2,3000,,2024-11-26 22:56:23.521980,VND102137
Teclado,2,2000,BA,2024-12-31 22:56:23.521982,VND102138
Celular,três,nan,,2025-02-11 22:56:23.521983,VND102139
Monitor,5,3000,PR,2025-03-04 22:56:23.521985,VND102140
Celular,3,mil,PE,2024-07-19 22:56:23.521987,VND102141
Teclado,3,mil,PE,2024-07-01 22:56:23.521988,VND102142
Headset,três,1500,PE,2024-10-13 22:56:23.521990,VND102143
Notebook,2,2000,RJ,2024-12-29 22:56:23.521991,VND102144
,5,1000,DF,2025-04-13 22:56:23.521993,VND102145
Notebook,5,1000,RJ,2025-04-26 22:56:23.521994,VND102146
Headset,,mil,RJ,2024-09-29 22:56:23.521996,VND102147
Teclado,-1,3000,RJ,2025-01-31 22:56:23.521997,VND102148
,1,2000,BA,2024-07-22 22:56:23.521999,VND102149
Notebook,três,3000,RS,2024-12-25 22:56:23.522001,VND102150
,-1,2000,BA,2024-08-16 22:56:23.522002,VND102151
Notebook,três,2000,RS,2024-12-22 22:56:23.522004,VND102152
Notebook,3,mil,BA,2025-01-02 22:56:23.522006,VND102153
,2,3000,PR,2025-04-22 22:56:23.522007,VND102154
Monitor,três,mil,DF,2024-08-17 22:56:23.522009,VND102155
Monitor,três,2000,SP,2025-02-11 22:56:23.522010,VND102156
Tablet,,nan,SP,2024-11-08 22:56:23.522012,VND102157
Celular,4,1500,RJ,2024-07-30 22:56:23.522013,VND102158
Headset,3,2000,SP,2024-07-12 22:56:23.522015,VND102159
Headset,1,nan,DF,2024-07-28 22:56:23.522017,VND102160
Headset,5,2000,DF,2024-09-29 22:56:23.522019,VND102161
Tablet,2,nan,,2024-06-26 22:56:23.522020,VND102162
Monitor,3,3000,MG,2024-12-10 22:56:23.522022,VND102163
Teclado,4,1000,SC,2024-08-05 22:56:23.522023,VND102164
,três,2500,DF,2024-12-24 22:56:23.522025,VND102165
,1,2000,,2024-07-30 22:56:23.522027,VND102166
,três,2500,SC,2024-07-25 22:56:23.522028,VND102167
Teclado,1,2000,SP,2024-07-23 22:56:23.522030,VND102168
,,3000,SC,2025-01-03 22:56:23.522031,VND102169
Tablet,três,3000,RS,2024-08-23 22:56:23.522033,VND102170
Teclado,3,nan,PR,2025-02-20 22:56:23.522035,VND102171
Headset,4,2000,SC,2025-04-13 22:56:23.522037,VND102172
Celular,1,3000,PR,2025-03-23 22:56:23.522038,VND102173
Notebook,2,3000,RJ,2025-06-20 22:56:23.522040,VND102174
,1,2000,SP,2025-04-15 22:56:23.522042,VND102175
Monitor,4,nan,PR,2024-10-23 22:56:23.522043,VND102176
Monitor,5,nan,CE,2025-06-14 22:56:23.522045,VND102177
Tablet,5,nan,RJ,2025-05-01 22:56:23.522046,VND102178
,,nan,PR,2025-06-23 22:56:23.522048,VND102179
Monitor,3,1000,MG,2025-05-20 22:56:23.522049,VND102180
Headset,4,2000,SC,2024-08-15 22:56:23.522051,VND102181
,,mil,MG,2024-11-30 22:56:23.522052,VND102182
Teclado,-1,1000,DF,2024-06-28 22:56:23.522054,VND102183
Headset,1,3000,,2025-02-23 22:56:23.522055,VND102184
Tablet,-1,1000,,2024-11-08 22:56:23.522057,VND102185
Headset,1,mil,,2025-03-30 22:56:23.522058,VND102186
Teclado,5,mil,RS,2024-08-08 22:56:23.522060,VND102187
Celular,,mil,RJ,2024-11-30 22:56:23.522062,VND102188
Tablet,5,nan,PE,2025-03-14 22:56:23.522063,VND102189
Celular,2,3000,PE,2024-09-12 22:56:23.522065,VND102190
Notebook,-1,1000,PR,2024-11-27 22:56:23.522066,VND102191
Celular,-1,1000,SC,2025-06-01 22:56:23.522068,VND102192
Notebook,5,2000,SP,2025-03-05 22:56:23.522069,VND102193
Notebook,2,1000,PE,2024-11-23 22:56:23.522071,VND102194
Celular,1,3000,SP,2025-03-24 22:56:23.522072,VND102195
Tablet,,nan,PE,2024-09-16 22:56:23.522074,VND102196
,2,2000,,2025-02-19 22:56:23.522076,VND102197
Teclado,,1000,RJ,2025-04-10 22:56:23.522077,VND102198
Headset,-1,2000,PE,2024-09-17 22:56:23.522079,VND102199
Headset,,2500,DF,2024-08-29 22:56:23.522080,VND102200
Teclado,-1,2000,BA,2024-12-30 22:56:23.522082,VND102201
,2,mil,PR,2025-03-06 22:56:23.522084,VND102202
,-1,nan,RS,2024-12-14 22:56:23.522085,VND102203
Notebook,três,mil,PE,2025-04-06 22:56:23.522087,VND102204
Notebook,3,2500,SC,2024-09-05 22:56:23.522088,VND102205
Tablet,-1,mil,RS,2024-08-14 22:56:23.522090,VND102206
Monitor,5,2500,SP,2025-06-21 22:56:23.522091,VND102207
Celular,2,2000,MG,2024-08-21 22:56:23.522093,VND102208
Notebook,três,3000,DF,2024-10-24 22:56:23.522094,VND102209
Headset,1,nan,CE,2024-07-25 22:56:23.522096,VND102210
Tablet,,3000,CE,2024-08-17 22:56:23.522098,VND102211
Celular,três,nan,RS,2025-05-10 22:56:23.522099,VND102212
Tablet,4,nan,MG,2025-04-01 22:56:23.522101,VND102213
Celular,três,mil,SC,2025-06-18 22:56:23.522102,VND102214
Celular,2,mil,RS,2025-06-20 22:56:23.522104,VND102215
Teclado,três,3000,SP,2024-06-26 22:56:23.522105,VND102216
Notebook,três,1500,RJ,2025-02-28 22:56:23.522107,VND102217
,5,2500,RS,2024-06-29 22:56:23.522109,VND102218
Tablet,-1,mil,CE,2024-06-25 22:56:23.522110,VND102219
,,mil,BA,2025-05-08 22:56:23.522113,VND102220
Tablet,3,mil,CE,2025-03-29 22:56:23.522115,VND102221
Teclado,1,2000,MG,2024-11-16 22:56:23.522116,VND102222
Headset,3,3000,SP,2025-05-12 22:56:23.522118,VND102223
,três,3000,SC,2024-07-07 22:56:23.522119,VND102224
Headset,4,mil,DF,2025-01-30 22:56:23.522121,VND102225
,2,2000,PR,2024-09-19 22:56:23.522123,VND102226
Notebook,,mil,BA,2024-10-02 22:56:23.522124,VND102227
Notebook,2,2500,DF,2025-01-11 22:56:23.522126,VND102228
Monitor,5,2000,RS,2025-03-25 22:56:23.522127,VND102229
Teclado,2,mil,BA,2024-06-27 22:56:23.522129,VND102230
Headset,1,nan,MG,2024-12-25 22:56:23.522130,VND102231
Celular,4,1500,SP,2025-03-24 22:56:23.522132,VND102232
Tablet,3,nan,SC,2025-03-14 22:56:23.522134,VND102233
Notebook,três,1500,DF,2024-08-31 22:56:23.522135,VND102234
,três,2000,RS,2025-01-05 22:56:23.522137,VND102235
Tablet,4,nan,,2024-12-08 22:56:23.522138,VND102236
Tablet,,2500,SP,2025-06-22 22:56:23.522140,VND102237
Monitor,2,nan,RS,2025-04-25 22:56:23.522141,VND102238
Headset,,3000,SC,2025-02-28 22:56:23.522143,VND102239
Notebook,3,1500,DF,2024-08-12 22:56:23.522144,VND102240
Tablet,,1500,RS,2024-07-27 22:56:23.522147,VND102241
Notebook,5,mil,SP,2024-09-17 22:56:23.522148,VND102242
Celular,4,2500,RS,2025-06-17 22:56:23.522150,VND102243
Monitor,3,1500,DF,2025-05-20 22:56:23.522152,VND102244
Celular,3,1500,SP,2024-11-10 22:56:23.522153,VND102245
Notebook,-1,mil,,2025-03-23 22:56:23.522155,VND102246
,3,2500,MG,2024-09-24 22:56:23.522156,VND102247
,-1,nan,RJ,2024-07-08 22:56:23.522158,VND102248
Notebook,1,2000,SP,2025-02-11 22:56:23.522159,VND102249
Headset,três,nan,BA,2024-11-24 22:56:23.522161,VND102250
Tablet,-1,3000,RJ,2025-05-24 22:56:23.522162,VND102251
Tablet,4,3000,RS,2025-02-28 22:56:23.522164,VND102252
Celular,,1500,DF,2025-05-07 22:56:23.522166,VND102253
,-1,3000,SP,2024-12-09 22:56:23.522167,VND102254
Monitor,3,2000,DF,2024-10-14 22:56:23.522169,VND102255
,4,1500,SP,2025-01-11 22:56:23.522170,VND102256
Teclado,-1,mil,,2025-03-23 22:56:23.522172,VND102257
,-1,3000,DF,2025-04-19 22:56:23.522173,VND102258
Tablet,3,mil,BA,2025-05-12 22:56:23.522177,VND102259
Headset,5,1000,PR,2025-05-13 22:56:23.522178,VND102260
,5,1000,RJ,2025-05-20 22:56:23.522180,VND102261
Celular,-1,1000,RJ,2024-12-06 22:56:23.522181,VND102262
Celular,5,mil,SP,2024-07-12 22:56:23.522183,VND102263
Teclado,2,1000,RS,2024-07-10 22:56:23.522184,VND102264
Headset,3,nan,SC,2025-06-16 22:56:23.522186,VND102265
Monitor,2,1000,SC,2025-06-02 22:56:23.522187,VND102266
,4,1500,RJ,2024-12-25 22:56:23.522189,VND102267
Headset,2,2500,PR,2025-04-20 22:56:23.522190,VND102268
Monitor,4,nan,SC,2025-02-18 22:56:23.522192,VND102269
Headset,-1,2500,PE,2024-07-10 22:56:23.522194,VND102270
Headset,4,1500,SC,2024-12-01 22:56:23.522195,VND102271
Notebook,4,1500,CE,2025-06-08 22:56:23.522197,VND102272
Celular,,2000,DF,2025-05-15 22:56:23.522199,VND102273
,2,nan,RJ,2024-09-26 22:56:23.522201,VND102274
Headset,,2500,PR,2025-01-25 22:56:23.522202,VND102275
,-1,1000,RS,2025-05-18 22:56:23.522204,VND102276
Teclado,3,1500,SP,2024-11-14 22:56:23.522205,VND102277
Headset,2,1000,MG,2025-03-06 22:56:23.522207,VND102278
Tablet,3,2500,BA,2024-10-20 22:56:23.522208,VND102279
Celular,3,mil,RJ,2025-01-18 22:56:23.522210,VND102280
Tablet,4,nan,PR,2024-11-27 22:56:23.522211,VND102281
,três,3000,SP,2024-07-11 22:56:23.522213,VND102282
,2,mil,MG,2024-09-10 22:56:23.522226,VND102283
Celular,3,mil,CE,2025-05-08 22:56:23.522228,VND102284
,três,3000,,2024-08-10 22:56:23.522230,VND102285
Tablet,5,1500,RJ,2024-10-09 22:56:23.522231,VND102286
Headset,3,2000,RS,2024-08-12 22:56:23.522233,VND102287
Headset,5,1000,BA,2024-09-16 22:56:23.522234,VND102288
Notebook,2,1500,MG,2024-11-09 22:56:23.522236,VND102289
Teclado,-1,2000,RS,2025-02-17 22:56:23.522237,VND102290
,,1000,SC,2024-10-07 22:56:23.522239,VND102291
Tablet,2,2500,SP,2025-03-09 22:56:23.522241,VND102292
,,mil,RJ,2024-11-16 22:56:23.522242,VND102293
,,mil,SP,2024-08-18 22:56:23.522244,VND102294
Monitor,2,3000,MG,2024-07-13 22:56:23.522245,VND102295
Notebook,3,2000,PE,2025-03-16 22:56:23.522247,VND102296
Tablet,1,1000,PE,2024-09-29 22:56:23.522248,VND102297
Tablet,3,1500,BA,2025-05-27 22:56:23.522250,VND102298
,3,1000,SC,2024-07-11 22:56:23.522252,VND102299
Notebook,-1,1500,CE,2025-02-19 22:56:23.522253,VND102300
Headset,4,mil,PR,2024-07-20 22:56:23.522255,VND102301
Tablet,4,3000,RJ,2024-08-31 22:56:23.522256,VND102302
Headset,3,3000,,2024-10-16 22:56:23.522258,VND102303
Notebook,5,1000,RJ,2025-03-04 22:56:23.522260,VND102304
Headset,-1,1000,MG,2024-10-27 22:56:23.522261,VND102305
Celular,,1500,PE,2024-10-12 22:56:23.522263,VND102306
Monitor,três,1500,DF,2025-05-06 22:56:23.522264,VND102307
,4,2000,CE,2024-10-21 22:56:23.522266,VND102308
Tablet,3,mil,MG,2024-08-17 22:56:23.522267,VND102309
Teclado,-1,2000,CE,2024-11-08 22:56:23.522269,VND102310
Monitor,1,2000,DF,2025-02-21 22:56:23.522270,VND102311
,5,1000,PE,2025-05-08 22:56:23.522272,VND102312
Headset,2,nan,RS,2025-04-09 22:56:23.522273,VND102313
Tablet,3,nan,,2024-06-30 22:56:23.522275,VND102314
Headset,-1,nan,DF,2025-04-13 22:56:23.522277,VND102315
Celular,3,nan,MG,2025-05-23 22:56:23.522278,VND102316
Notebook,três,2000,,2024-09-16 22:56:23.522280,VND102317
Tablet,,1000,PR,2025-05-01 22:56:23.522281,VND102318
,5,nan,CE,2024-10-29 22:56:23.522283,VND102319
,4,3000,SC,2024-08-02 22:56:23.522285,VND102320
Celular,4,2500,MG,2024-08-05 22:56:23.522286,VND102321
Celular,4,3000,RS,2025-03-01 22:56:23.522288,VND102322
,três,1000,PR,2024-11-07 22:56:23.522289,VND102323
Tablet,2,1000,PE,2025-06-03 22:56:23.522291,VND102324
Headset,-1,2500,BA,2024-07-01 22:56:23.522292,VND102325
Teclado,5,1500,RJ,2024-10-02 22:56:23.522294,VND102326
,5,1500,DF,2024-08-17 22:56:23.522302,VND102327
,4,1500,RJ,2024-06-25 22:56:23.522304,VND102328
Celular,4,2000,MG,2025-06-02 22:56:23.522306,VND102329
Monitor,,1500,PE,2025-06-05 22:56:23.522307,VND102330
Celular,três,mil,SP,2024-09-20 22:56:23.522309,VND102331
Teclado,1,2000,PR,2025-04-02 22:56:23.522310,VND102332
Headset,1,2000,SC,2025-01-23 22:56:23.522312,VND102333
Headset,3,1500,RJ,2025-04-14 22:56:23.522313,VND102334
Monitor,3,1500,CE,2025-04-10 22:56:23.522315,VND102335
,5,2500,RS,2025-02-07 22:56:23.522316,VND102336
Celular,5,nan,RJ,2025-04-05 22:56:23.522318,VND102337
,2,2500,MG,2024-07-03 22:56:23.522319,VND102338
Headset,2,2000,PR,2025-05-28 22:56:23.522321,VND102339
Teclado,1,2500,PR,2024-08-22 22:56:23.522322,VND102340
Tablet,três,2000,DF,2024-08-11 22:56:23.522324,VND102341
Notebook,3,1000,SP,2024-10-12 22:56:23.522326,VND102342
Notebook,1,2000,DF,2025-03-19 22:56:23.522327,VND102343
Notebook,três,2000,,2024-07-02 22:56:23.522329,VND102344
,1,2500,,2024-12-11 22:56:23.522330,VND102345
,3,nan,BA,2025-01-14 22:56:23.522332,VND102346
Celular,-1,1000,SC,2024-07-21 22:56:23.522333,VND102347
Monitor,2,3000,PE,2025-02-28 22:56:23.522335,VND102348
,,3000,MG,2024-07-17 22:56:23.522337,VND102349
,,nan,MG,2025-01-12 22:56:23.522338,VND102350
Headset,,3000,PE,2024-11-14 22:56:23.522340,VND102351
Tablet,3,1000,PE,2025-04-10 22:56:23.522341,VND102352
,4,1500,PE,2025-05-18 22:56:23.522343,VND102353
Teclado,4,1000,SP,2024-07-16 22:56:23.522344,VND102354
Tablet,4,2500,PE,2024-10-22 22:56:23.522346,VND102355
Teclado,5,mil,PE,2024-09-02 22:56:23.522348,VND102356
,2,2000,RJ,2025-03-22 22:56:23.522349,VND102357
Celular,2,2000,CE,2024-10-28 22:56:23.522351,VND102358
Notebook,-1,2500,PR,2025-03-17 22:56:23.522353,VND102359
,-1,2500,PE,2024-12-22 22:56:23.522354,VND102360
Celular,5,mil,RJ,2025-03-23 22:56:23.522356,VND102361
,1,mil,BA,2024-08-04 22:56:23.522358,VND102362
Monitor,três,2000,PR,2025-01-09 22:56:23.522359,VND102363
Monitor,-1,mil,SC,2024-11-14 22:56:23.522361,VND102364
,,mil,PR,2025-02-10 22:56:23.522362,VND102365
Teclado,4,mil,SP,2024-07-17 22:56:23.522364,VND102366
Headset,,nan,PE,2025-05-03 22:56:23.522366,VND102367
Headset,4,1500,PR,2025-03-21 22:56:23.522367,VND102368
Teclado,,mil,BA,2024-08-21 22:56:23.522369,VND102369
Monitor,1,1500,SP,2024-08-04 22:56:23.522371,VND102370
Monitor,três,1500,PE,2024-09-09 22:56:23.522372,VND102371
,,2500,DF,2024-12-13 22:56:23.522374,VND102372
Monitor,,mil,PR,2025-02-11 22:56:23.522375,VND102373
Celular,3,2000,PE,2025-06-01 22:56:23.522377,VND102374
Monitor,três,nan,DF,2024-11-10 22:56:23.522378,VND102375
Tablet,,2000,SP,2024-10-19 22:56:23.522380,VND102376
,3,mil,RS,2024-11-27 22:56:23.522381,VND102377
Notebook,2,2000,CE,2024-07-17 22:56:23.522383,VND102378
Monitor,três,mil,RS,2025-02-14 22:56:23.522384,VND102379
Teclado,5,nan,DF,2025-05-30 22:56:23.522386,VND102380
Notebook,três,1000,MG,2024-08-23 22:56:23.522388,VND102381
Celular,três,nan,CE,2025-03-08 22:56:23.522389,VND102382
Teclado,,1000,CE,2024-08-14 22:56:23.522391,VND102383
Notebook,2,3000,BA,2025-02-21 22:56:23.522392,VND102384
Teclado,três,1000,BA,2025-04-21 22:56:23.522394,VND102385
Celular,-1,1500,,2024-07-02 22:56:23.522395,VND102386
,-1,1500,PE,2025-05-11 22:56:23.522397,VND102387
Tablet,3,nan,PR,2024-07-03 22:56:23.522399,VND102388
Celular,,1500,,2025-05-12 22:56:23.522400,VND102389
Celular,,1500,RS,2024-06-28 22:56:23.522402,VND102390
Teclado,três,3000,SC,2025-03-18 22:56:23.522403,VND102391
,1,1500,MG,2024-11-30 22:56:23.522405,VND102392
,2,2500,SC,2025-04-27 22:56:23.522406,VND102393
Headset,4,2500,PE,2025-04-04 22:56:23.522408,VND102394
Monitor,4,2500,DF,2025-02-12 22:56:23.522409,VND102395
Monitor,1,1000,,2025-02-06 22:56:23.522411,VND102396
Tablet,3,nan,CE,2025-01-06 22:56:23.522412,VND102397
Tablet,4,nan,MG,2025-02-26 22:56:23.522414,VND102398
Monitor,três,2000,PE,2024-08-22 22:56:23.522416,VND102399
Headset,4,3000,MG,2025-05-31 22:56:23.522417,VND102400
Monitor,-1,2500,RJ,2025-05-24 22:56:23.522419,VND102401
,-1,2500,RS,2024-11-04 22:56:23.522420,VND102402
Headset,5,1500,BA,2025-04-20 22:56:23.522422,VND102403
Tablet,2,2500,RS,2024-07-06 22:56:23.522423,VND102404
Notebook,3,1500,SC,2025-02-27 22:56:23.522425,VND102405
Teclado,,1500,MG,2025-02-19 22:56:23.522427,VND102406
,2,2000,SP,2025-01-29 22:56:23.522428,VND102407
,3,1000,BA,2025-06-06 22:56:23.522430,VND102408
,4,1500,SC,2024-11-10 22:56:23.522431,VND102409
Tablet,5,1500,RJ,2024-08-20 22:56:23.522433,VND102410
Tablet,2,nan,RJ,2025-02-25 22:56:23.522434,VND102411
Celular,4,2000,SP,2024-10-24 22:56:23.522436,VND102412
,3,1500,CE,2024-07-13 22:56:23.522438,VND102413
Celular,2,3000,MG,2024-09-03 22:56:23.522439,VND102414
Celular,,1000,RJ,2024-12-19 22:56:23.522441,VND102415
Teclado,2,3000,BA,2024-07-22 22:56:23.522442,VND102416
Celular,4,2500,SC,2024-11-04 22:56:23.522444,VND102417
Headset,três,1000,SP,2025-06-13 22:56:23.522446,VND102418
Monitor,três,2500,CE,2025-04-26 22:56:23.522447,VND102419
Notebook,2,nan,CE,2024-12-17 22:56:23.522449,VND102420
Tablet,,mil,PE,2025-02-10 22:56:23.522450,VND102421
Headset,5,mil,SC,2025-04-26 22:56:23.522452,VND102422
Notebook,5,mil,BA,2025-04-29 22:56:23.522453,VND102423
,três,1500,RJ,2024-09-15 22:56:23.522455,VND102424
,4,2000,PE,2024-09-09 22:56:23.522456,VND102425
,3,3000,PR,2024-10-02 22:56:23.522458,VND102426
Headset,4,2500,BA,2024-08-22 22:56:23.522460,VND102427
Headset,5,1500,MG,2024-08-29 22:56:23.522463,VND102428
Tablet,1,mil,SC,2024-12-08 22:56:23.522465,VND102429
Monitor,1,3000,SP,2024-07-30 22:56:23.522468,VND102430
,2,3000,RJ,2024-09-17 22:56:23.522471,VND102431
Celular,,nan,PR,2024-07-20 22:56:23.522474,VND102432
,três,nan,,2025-06-11 22:56:23.522476,VND102433
Teclado,-1,mil,MG,2024-11-16 22:56:23.522479,VND102434
Monitor,-1,2500,SP,2025-04-19 22:56:23.522482,VND102435
Teclado,-1,mil,RJ,2024-10-21 22:56:23.522484,VND102436
Tablet,2,mil,DF,2024-10-26 22:56:23.522486,VND102437
Tablet,1,1500,DF,2025-01-27 22:56:23.522488,VND102438
Tablet,5,2000,CE,2024-11-03 22:56:23.522490,VND102439
Notebook,2,mil,PR,2025-02-12 22:56:23.522491,VND102440
Teclado,-1,2500,PR,2024-08-18 22:56:23.522493,VND102441
Monitor,-1,3000,DF,2024-10-23 22:56:23.522494,VND102442
,três,3000,PE,2024-11-15 22:56:23.522496,VND102443
Monitor,4,1000,PE,2025-01-09 22:56:23.522497,VND102444
Headset,-1,mil,CE,2024-11-04 22:56:23.522499,VND102445
Headset,,1500,RJ,2025-03-24 22:56:23.522501,VND102446
,-1,1000,PE,2025-02-02 22:56:23.522502,VND102447
,4,nan,PE,2024-09-14 22:56:23.522504,VND102448
Headset,-1,2000,RS,2025-02-19 22:56:23.522505,VND102449
Tablet,,2500,RS,2025-03-14 22:56:23.522507,VND102450
Monitor,5,mil,BA,2024-09-11 22:56:23.522508,VND102451
Teclado,2,3000,RS,2025-03-19 22:56:23.522510,VND102452
Tablet,,1500,RJ,2024-10-15 22:56:23.522512,VND102453
Notebook,4,3000,RJ,2024-07-21 22:56:23.522513,VND102454
Headset,2,mil,RS,2025-03-02 22:56:23.522515,VND102455
Tablet,2,nan,,2025-05-03 22:56:23.522516,VND102456
Tablet,4,1000,MG,2024-12-31 22:56:23.522518,VND102457
Notebook,três,mil,SP,2024-07-27 22:56:23.522520,VND102458
Celular,1,1000,CE,2024-11-14 22:56:23.522522,VND102459
Monitor,-1,2500,RJ,2024-10-19 22:56:23.522523,VND102460
Teclado,,1500,DF,2024-10-31 22:56:23.522525,VND102461
,4,nan,RJ,2024-08-17 22:56:23.522526,VND102462
Celular,5,1500,BA,2025-01-11 22:56:23.522528,VND102463
Headset,3,2500,RJ,2024-07-22 22:56:23.522529,VND102464
Tablet,4,nan,PR,2025-05-30 22:56:23.522531,VND102465
,-1,nan,DF,2025-03-18 22:56:23.522533,VND102466
Notebook,-1,1000,SP,2025-02-12 22:56:23.522534,VND102467
Notebook,2,1000,,2024-10-05 22:56:23.522536,VND102468
,2,1000,RJ,2025-02-14 22:56:23.522537,VND102469
Monitor,4,3000,,2024-12-30 22:56:23.522539,VND102470
Celular,3,2000,RS,2024-09-07 22:56:23.522540,VND102471
,três,mil,RJ,2025-03-23 22:56:23.522542,VND102472
Monitor,4,1000,CE,2025-03-07 22:56:23.522544,VND102473
,3,2000,BA,2024-07-04 22:56:23.522545,VND102474
Tablet,três,2000,CE,2024-08-01 22:56:23.522547,VND102475
,3,1500,,2024-09-07 22:56:23.522548,VND102476
Monitor,-1,2500,SP,2025-04-16 22:56:23.522550,VND102477
Teclado,-1,3000,SP,2024-09-20 22:56:23.522552,VND102478
Notebook,-1,2000,SP,2025-01-25 22:56:23.522553,VND102479
Notebook,5,mil,BA,2024-08-09 22:56:23.522555,VND102480
Headset,-1,3000,CE,2024-11-17 22:56:23.522556,VND102481
Headset,,1500,PE,2025-01-27 22:56:23.522558,VND102482
